                             120          1.1108346145789139E+007          1.7562363894773302E+001         -4.3763610522669794E-001         -1.1438527700829086E-007          4.4221400147947909E+000          5.0037318510628941E+000          1.1808447323944906E+000          3.3207828601806040E+000          7.8882955093510558E+000          1.6956424355132349E+000          9.8657904833532739E-001          6.7504685009680532E-001 
                             125          1.1110177864796706E+007          1.7562166878529670E+001         -4.3783312147033016E-001         -1.0041037914492463E-007          4.4122110117946374E+000          4.9978571149088769E+000          1.1977653703177900E+000          3.2869367123504896E+000          7.9254413696096391E+000          1.8732046006049399E+000          9.8657904833524313E-001          6.7504034395863188E-001 
                             130          1.1112841987097379E+007          1.7560696565207326E+001         -4.3930343479267364E-001         -1.3205679901680008E-006          4.3790220666670612E+000          5.0146371456804433E+000          1.2725332759587260E+000          3.1373645401970753E+000          7.9786079773311629E+000          2.1121427058794704E+000          9.8657904832309673E-001          6.7502962968669733E-001 
                             135          1.1115239521855034E+007          1.7557381579939619E+001         -4.4261842006038066E-001         -1.4108468706390699E-006          4.3397083250625039E+000          5.0350729208323193E+000          1.3613786467437792E+000          2.9595918078182644E+000          8.0316565859995297E+000          2.3226722833708995E+000          9.8657904536950358E-001          6.7501723513270684E-001 
                             140          1.1117646754212955E+007          1.7554029816285741E+001         -4.4597018371425889E-001         -1.3803095921594370E-006          4.2913716661831938E+000          5.0468302706912782E+000          1.4639306394318776E+000          2.7544049062386993E+000          8.0869083819663246E+000          2.5247932325681570E+000          9.8657824031045160E-001          6.7500319784114038E-001 
                             145          1.1119799357289119E+007          1.7551077687220815E+001         -4.4892231277918526E-001         -1.3655029653287070E-006          4.2395715799107769E+000          5.0553726267022654E+000          1.5718019899822049E+000          2.5385891620137269E+000          8.1378150590411522E+000          2.6966647010767004E+000          9.8649243733470304E-001          6.7498994171711468E-001 
                             150          1.1121988425113091E+007          1.7548154900819242E+001         -4.5184509918075833E-001         -1.3067163896008015E-006          4.1778169108773646E+000          5.0621827699482891E+000          1.6987163996720425E+000          2.2846880134168392E+000          8.1873805206777597E+000          2.8257888126529593E+000          9.8588573590867612E-001          6.7497620600626052E-001 
                             155          1.1124184405761480E+007          1.7545454092649425E+001         -4.5454590735057465E-001         -1.1847804792923817E-006          4.1087966261492062E+000          5.0726401656172753E+000          1.8419856669628516E+000          1.9980826321288958E+000          8.2038455373235184E+000          2.8428481008475255E+000          9.8512692482377395E-001          6.7496338526179644E-001 
                             160          1.1127493836595519E+007          1.7542017981203809E+001         -4.5798201879619072E-001         -5.3498819932721193E-007          4.0186830151066699E+000          5.0891814427136950E+000          2.0304835275961328E+000          1.6210018500610495E+000          8.2090533430795638E+000          2.8395183708751945E+000          9.8367825064552561E-001          6.7494499999381119E-001 
                             162          1.1129327177580977E+007          1.7541488383915773E+001         -4.5851161608422686E-001         -1.9333153579717633E-007          3.9802061069374739E+000          5.0939582212285988E+000          2.1098257331919790E+000          1.4623043272278100E+000          8.2123390976887531E+000          2.8459089512354563E+000          9.8278906947626066E-001          6.7493607985312887E-001 
                             165          1.1132823708048049E+007          1.7539017579329048E+001         -4.6098242067095185E-001         -9.4332993767681469E-007          3.9310357747973992E+000          5.0967962013148540E+000          2.2095853875152542E+000          1.2627238417669466E+000          8.2221306626900628E+000          2.8735302143709096E+000          9.8076032984228390E-001          6.7491967852283175E-001 
                             170          1.1139944668275844E+007          1.7532792885392247E+001         -4.6720711460775277E-001         -6.5889911265032078E-007          3.8680906551604575E+000          5.0968347508971457E+000          2.3354949015802835E+000          1.0107506527754531E+000          8.2376518654881963E+000          2.9176088781357818E+000          9.7321426394165444E-001          6.7489298629062622E-001 
                             171          1.1141703642110266E+007          1.7531704559357195E+001         -4.6829544064280526E-001         -6.1872781376967924E-007          3.8599546691034727E+000          5.0977923308729309E+000          2.3522456636821465E+000          9.7722216945204021E-001          8.2380007788014940E+000          2.9176972756803936E+000          9.7118605116529721E-001          6.7488685489188571E-001 
                             175          1.1150683379432369E+007          1.7524309485132601E+001         -4.7569051486739866E-001         -9.3705126222033954E-007          3.8266003265751212E+000          5.0999269819058259E+000          2.4200216742552976E+000          8.4148691926135388E-001          8.2398229417356514E+000          2.9203932139272997E+000          9.5995386515415848E-001          6.7485103070523833E-001 
