#                           1                            2                            3                            4                            5 
#              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
#                        6794      1.3000000000000000E+001      1.4000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 
#
#                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11 
#                    model_number                         star_age                        star_mass                       delta_mass                        star_mdot                         log_Teff                            log_L                            log_R                            log_g                       center_he4                       surface_h1 
                              52          2.3146905931344983E+005          1.2999637326012865E+001         -3.6267398713540899E-004         -1.5474243535052611E-009          4.4571867569370305E+000          4.0935290064871497E+000          6.5564982582213871E-001          4.2405209379596496E+000          2.7146855672320924E-001          7.2007247603037539E-001 
                              53          2.5478007772888514E+005          1.2999601269342259E+001         -3.9873065774109762E-004         -1.5467651375154515E-009          4.4570092822108043E+000          4.0938314885930129E+000          6.5615601632752474E-001          4.2395073523587490E+000          2.7201244680990977E-001          7.2007247601740121E-001 
                              54          2.8042219798586401E+005          1.2999561621688162E+001         -4.3837831183779485E-004         -1.5461925027167455E-009          4.4568244565643029E+000          4.0941710157853635E+000          6.5669543121670204E-001          4.2384271980179484E+000          2.7260722311986468E-001          7.2007247600016577E-001 
                              55          3.0862853026854078E+005          1.2999518020409800E+001         -4.8197959019979919E-004         -1.5457975154298802E-009          4.4566263450756338E+000          4.0945516656137411E+000          6.5728197910822872E-001          4.2372526455837471E+000          2.7325744883068570E-001          7.2007247597724822E-001 
                              56          3.3965549577948521E+005          1.2999470067183905E+001         -5.2993281609481357E-004         -1.5455338640325069E-009          4.4564206981147656E+000          4.0949779400719128E+000          6.5790641025905117E-001          4.2360021812334905E+000          2.7396814593921359E-001          7.2007247594673940E-001 
                              57          3.7378515784152405E+005          1.2999417319086659E+001         -5.8268091334134908E-004         -1.5455206427779920E-009          4.4562048061416011E+000          4.0954541005984995E+000          6.5857627446867439E-001          4.2346606905690196E+000          2.7474474046452979E-001          7.2007247590608581E-001 
                              58          4.1132778610976675E+005          1.2999359287381425E+001         -6.4071261857456818E-004         -1.5457549966842702E-009          4.4559787756300295E+000          4.0959859308868500E+000          6.5929425063599223E-001          4.2332227994624381E+000          2.7559310757224870E-001          7.2007247585184919E-001 
                              59          4.5262467720483377E+005          1.2999295430496772E+001         -7.0456950322750345E-004         -1.5462879399184422E-009          4.4557419465291268E+000          4.0965794639640762E+000          6.6006467537641000E-001          4.2316798165871683E+000          2.7651960161159167E-001          7.2007247577940758E-001 
                              60          4.9805125740940747E+005          1.2999225148202314E+001         -7.7485179768643775E-004         -1.5471623472431094E-009          4.4554998371907972E+000          4.0972413692056771E+000          6.6087984667386912E-001          4.2300471259192074E+000          2.7753117662519966E-001          7.2007247568252619E-001 
                              61          5.4802049563443859E+005          1.2999147770199011E+001         -8.5222980098897949E-004         -1.5485127660906280E-009          4.4552461340762868E+000          4.0979785951285175E+000          6.6175586586431112E-001          4.2282925023888636E+000          2.7863530730632741E-001          7.2007247555279474E-001 
                              62          6.0298665768197272E+005          1.2999062555479364E+001         -9.3744452063582173E-004         -1.5503123462501400E-009          4.4549838701251971E+000          4.0987998179988958E+000          6.6269100520168045E-001          4.2264193767271934E+000          2.7984014914369182E-001          7.2007247537880470E-001 
                              63          6.6344943593426037E+005          1.2998968675843736E+001         -1.0313241562638353E-003         -1.5526847813494565E-009          4.4547151501495570E+000          4.0997138687956669E+000          6.6368547055134575E-001          4.2244273095282292E+000          2.8115441555373244E-001          7.2007247514502493E-001 
                              64          7.2995849201177689E+005          1.2998865205473065E+001         -1.1347945269353232E-003         -1.5557335613034889E-009          4.4544374741950232E+000          4.1007305118886546E+000          6.6474914400690777E-001          4.2222965056667121E+000          2.8258769133284278E-001          7.2007247483022230E-001 
                              65          8.0311845369704487E+005          1.2998751111402621E+001         -1.2488885973791497E-003         -1.5595151749176448E-009          4.4541528278254239E+000          4.1018611239725411E+000          6.6588374278804885E-001          4.2200234961837824E+000          2.8415038258025332E-001          7.2007247440520683E-001 
                              66          8.8359441155083978E+005          1.2998625234248015E+001         -1.3747657519846967E-003         -1.5641585134445882E-009          4.4538643006802374E+000          4.1031183581436643E+000          6.6708941416398349E-001          4.2176079477957042E+000          2.8585358993043436E-001          7.2007247382883977E-001 
                              67          9.7211796519001422E+005          1.2998486267131875E+001         -1.5137328681245066E-003         -1.5698321003530411E-009          4.4535832581364128E+000          4.1045269623014731E+000          6.6835580133053618E-001          4.2150705304351073E+000          2.8766770789229901E-001          7.2007247304217392E-001 
                              68          1.0694938741931058E+006          1.2998332712085222E+001         -1.6672879147776598E-003         -1.5769305593514458E-009          4.4532711317967655E+000          4.1060683733217340E+000          6.6975075951996255E-001          4.2122754835739844E+000          2.8971947988182339E-001          7.2007247195409263E-001 
                              69          1.1766073740965067E+006          1.2998162965661598E+001         -1.8370343384024324E-003         -1.5847341724222178E-009          4.4529656993329372E+000          4.1077914539814921E+000          6.7122316477749666E-001          4.2093250015302592E+000          2.9193780282101378E-001          7.2007247040828759E-001 
                              70          1.2944322239902481E+006          1.2997975125947018E+001         -2.0248740529815734E-003         -1.5942283376421575E-009          4.4526557500263841E+000          4.1097066743987067E+000          6.7280067359921125E-001          4.2061637077429479E+000          2.9434312328425066E-001          7.2007246808946301E-001 
                              71          1.4240395588733633E+006          1.2997767056072645E+001         -2.2329439273551799E-003         -1.6053865667643834E-009          4.4523469380676861E+000          4.1118353137137413E+000          6.7448261717412517E-001          4.2027928684085918E+000          2.9696178906889192E-001          7.2007246425546034E-001 
